,CityName,City_id,Country,Latitude,Max_Temperature,Humidity,Cloudiness,WindSpeed
234,Coahuayana,3981460,MX,18.62,84.5,68,93,1.95
235,Fagersta,2715656,SE,60.0,51.8,66,57,5.82
236,Sidi Ali,2487130,DZ,36.1,73.7,92,3,7.38
237,Andros Town,3572906,BS,24.73,87.8,66,40,11.41
238,Jijiga,333795,ET,9.35,58.94,92,82,6.4
239,Oranjemund,3354071,NA,-28.55,57.14,81,0,10.63
240,Meadow Lake,6071421,CA,54.13,59.0,72,75,9.17
241,Hamilton,3573197,BM,32.3,78.8,61,20,6.93
242,Cabo San Lucas,3985710,MX,22.89,90.0,61,5,13.87
243,Buraydah,107304,SA,26.33,93.2,23,0,6.93
244,Aksarka,1512019,RU,66.56,69.56,72,0,6.71
245,Aksu,1529660,CN,41.12,72.26,50,90,13.42
246,Oranjestad,3577154,AW,12.52,84.2,70,20,19.46
247,Kokkola,651951,FI,63.84,55.0,81,0,5.82
248,Shache,1280037,CN,38.42,76.94,30,90,7.0
249,Qaanaaq,3831208,GL,77.48,47.24,45,96,3.67
250,Saint-Philippe,935215,RE,-21.36,68.0,60,20,9.17
251,Kyela,156111,TZ,-9.58,56.78,95,28,3.11
252,Inhambane,1045114,MZ,-23.87,56.78,83,0,1.9
253,Shkoder,3184081,AL,42.07,78.8,65,0,2.24
254,Ust-Maya,2013918,RU,60.42,61.64,54,98,5.86
255,Salalah,286621,OM,17.01,82.4,88,100,5.82
256,Grand-Santi,3381538,GF,4.27,72.62,97,55,1.54
257,Aleksandrovka,558799,RU,51.63,53.36,87,33,7.83
258,Boende,218680,CD,-0.28,74.78,78,52,2.68
259,Zhanaozen,607610,KZ,43.35,73.7,37,0,3.31
260,Quelimane,1028434,MZ,-17.88,62.18,97,2,2.82
261,Ambilobe,1082243,MG,-13.19,69.2,79,22,5.84
262,Bandarbeyla,64814,SO,9.49,80.18,50,7,22.97
263,Kingsport,4634662,US,36.55,87.01,54,40,5.82
264,Yakima,5816605,US,46.6,84.0,34,1,8.05
265,Rundu,3353383,NA,-17.91,55.4,32,2,2.24
266,Dingle,2964782,IE,52.14,58.22,81,0,6.49
267,Ryotsu,1853371,JP,38.08,69.8,100,75,1.12
268,Taraz,1516905,KZ,42.89,62.6,55,0,11.18
269,Huercal-Overa,2516542,ES,37.39,72.0,83,0,2.93
270,Roma,2151187,AU,-26.57,63.08,63,47,19.64
271,Iqaluit,5983720,CA,63.75,41.0,86,20,16.11
272,Kiunga,2093846,PG,-6.12,71.36,98,100,3.06
273,Arrifes,3373329,PT,37.77,68.0,82,20,6.93
274,Ancud,3899695,CL,-41.87,44.6,81,75,4.7
275,Fort-Shevchenko,609906,KZ,44.51,75.14,75,0,11.95
276,Bognor Regis,2655262,GB,50.78,57.99,67,0,6.93
277,Vardo,777019,NO,70.37,48.2,93,75,3.36
278,Florianopolis,3463237,BR,-27.6,66.0,67,75,8.05
279,Meybod,124193,IR,32.25,86.0,27,0,2.24
280,Vysokogornyy,2013216,RU,50.1,74.96,43,40,2.64
281,Waipawa,2185329,NZ,-39.94,52.0,93,100,3.87
282,Pasighat,1260206,IN,28.06,72.08,97,100,2.37
